Id,SalePrice
1461,152761.824662
1462,305698.304739
1463,199837.100223
1464,203947.46201
1465,144385.993096
1466,198673.790283
1467,143455.345144
1468,188281.554822
1469,184617.128511
1470,189561.195755
1471,189638.749751
1472,206118.973898
1473,187661.122854
1474,222095.09707
1475,204238.289495
1476,207049.621849
1477,189367.310765
1478,171529.891689
1479,175097.375505
1480,148108.584903
1481,185819.215449
1482,200535.086187
1483,208910.917753
1484,192042.923627
1485,197122.710364
1486,203792.354018
1487,213874.373496
1488,151307.687237
1489,195726.738436
1490,183938.531047
1491,171995.215665
1492,162223.412172
1493,184403.855022
1494,227136.106809
1495,178664.85932
1496,233611.865473
1497,210151.781689
1498,196502.278396
1499,248618.563696
1500,198363.574299
1501,164084.708075
1502,206855.736859
1503,166101.111971
1504,202687.209575
1505,183162.991087
1506,172925.863617
1507,211392.645624
1508,171684.999681
1509,187971.338838
1510,165946.003979
1511,170133.919762
1512,158811.036348
1513,176028.023456
1514,172305.431649
1515,145568.691534
1516,154157.796589
1517,209841.565705
1518,192779.686589
1519,132132.46173
1520,201465.734139
1521,194020.550524
1522,135796.88804
1523,179440.39928
1524,186420.258918
1525,188281.554822
1526,169513.487794
1527,157259.956429
1528,166954.205926
1529,173546.295585
1530,172925.863617
1531,153227.148638
1532,156794.632453
1533,194175.658516
1534,140198.077312
1535,182077.235143
1536,147953.476911
1537,189987.742733
1538,191538.822653
1539,155553.768517
1540,243034.675985
1541,167652.19189
1542,283362.753896
1543,241173.380082
1544,245051.079881
1545,243577.553957
1546,178975.075304
1547,237218.126287
1548,207049.621849
1549,211547.753616
1550,247843.023736
1551,173623.849581
1552,170444.135746
1553,161758.088196
1554,170133.919762
1555,149039.232854
1556,185954.934942
1557,76138.4766309
1558,194020.550524
1559,221939.989078
1560,177268.887392
1561,35500.1827361
1562,182755.832608
1563,147526.929933
1564,201116.741157
1565,196502.278396
1566,192779.686589
1567,176648.455424
1568,231246.468596
1569,159276.360324
1570,178199.535344
1571,179149.571795
1572,197180.875861
1573,222560.421046
1574,199604.438235
1575,169823.703778
1576,164550.032051
1577,153673.084114
1578,183473.207071
1579,174554.497533
1580,152354.666183
1581,164142.873572
1582,162223.412172
1583,142301.729454
1584,202396.38209
1585,207980.269801
1586,154312.904581
1587,201892.281117
1588,197588.03434
1589,181495.580173
1590,168737.947834
1591,156329.308477
1592,161758.088196
1593,193826.665534
1594,15347595920500000000
1595,149107.092601
1596,134459.08161
1597,165946.003979
1598,164084.708075
1599,275297.138314
1600,270333.682571
1601,173856.511569
1602,207049.621849
1603,153692.472613
1604,189057.094781
1605,174166.727553
1606,150590.312774
1607,170444.135746
1608,223180.853014
1609,212323.293576
1610,185179.394982
1611,161602.980204
1612,160517.22426
1613,154196.573587
1614,186885.582894
1615,144385.993096
1616,139732.753337
1617,158966.14434
1618,165790.895987
1619,225662.580885
1620,136320.377513
1621,162068.30418
1622,184093.639039
1623,168893.055826
1624,192469.470605
1625,206739.405865
1626,140663.401288
1627,177191.333396
1628,186575.36691
1629,150745.420766
1630,156019.092493
1631,95061.6516507
1632,142679.805184
1633,195338.968456
1634,175407.591489
1635,197588.03434
1636,181146.587191
1637,147177.936951
1638,207049.621849
1639,175562.69948
1640,176958.671408
1641,166876.65193
1642,186265.150926
1643,209531.349721
1644,220699.125142
1645,148729.016871
1646,170327.804752
1647,203016.814058
1648,184714.071006
1649,129495.625867
1650,146286.065997
1651,164007.154079
1652,195242.025961
1653,184248.747031
1654,173236.079601
1655,186575.36691
1656,195261.41446
1657,165480.680003
1658,192159.254621
1659,164627.586047
1660,162068.30418
1661,118967.670912
1662,195571.630444
1663,174108.562056
1664,119568.714381
1665,183783.423055
1666,181611.911167
1667,221707.32709
1668,225042.148917
1669,207204.729841
1670,214029.481488
1671,171684.999681
1672,171684.999681
1673,182852.775103
1674,187506.014862
1675,177579.103376
1676,214805.021448
1677,186575.36691
1678,174787.159521
1679,178509.751328
1680,229074.956708
1681,202861.706066
1682,157880.388396
1683,192314.362613
1684,192391.916609
1685,206312.858888
1686,194214.435514
1687,204965.358207
1688,188436.662814
1689,216549.986357
1690,191112.275675
1691,203055.591056
1692,194059.327522
1693,197898.250323
1694,182930.329099
1695,172382.985645
1696,186245.762427
1697,194020.550524
1698,160517.22426
1699,204490.339982
1700,181146.587191
1701,172460.539641
1702,162068.30418
1703,162378.520163
1704,153770.026609
1705,173856.511569
1706,194825.173233
1707,196967.602372
1708,180274.104736
1709,182852.775103
1710,161118.267729
1711,185954.934942
1712,184248.747031
1713,177889.31936
1714,243499.999961
1715,191054.110178
1716,176764.786418
1717,179673.061268
1718,154933.336549
1719,174321.835545
1720,172305.431649
1721,164162.262071
1722,132752.893698
1723,148224.915897
1724,178664.85932
1725,209066.025745
1726,177579.103376
1727,221862.435082
1728,177656.657372
1729,185334.502974
1730,199604.438235
1731,148263.692895
1732,161913.196188
1733,174476.943537
1734,165092.910023
1735,142912.467172
1736,126858.790003
1737,193555.226548
1738,203637.246026
1739,259165.90715
1740,198208.466307
1741,192624.578597
1742,181146.587191
1743,187971.338838
1744,243965.323937
1745,196637.997889
1746,242414.244017
1747,229966.827662
1748,185179.394982
1749,164123.485073
1750,196502.278396
1751,173546.295585
1752,171219.675705
1753,174011.619561
1754,157376.287423
1755,197277.818356
1756,147100.382955
1757,180371.047231
1758,189987.742733
1759,182852.775103
1760,176648.455424
1761,141283.833256
1762,198673.790283
1763,162262.189169
1764,204742.390469
1765,119568.714381
1766,179130.183296
1767,158345.712372
1768,146635.058979
1769,161137.656228
1770,187506.014862
1771,185954.934942
1772,193865.442532
1773,130116.057835
1774,155980.315495
1775,176028.023456
1776,188669.324802
1777,203792.354018
1778,188960.152286
1779,180836.371207
1780,162068.30418
1781,201349.403145
1782,135816.276539
1783,165403.126007
1784,148573.908879
1785,152141.392694
1786,375574.455119
1787,157570.172413
1788,92793.1972682
1789,168582.839842
1790,163658.161097
1791,185489.610966
1792,157570.172413
1793,134769.297594
1794,155631.322513
1795,165480.680003
1796,156794.632453
1797,158500.820364
1798,188320.33182
1799,180274.104736
1800,168893.055826
1801,189522.418757
1802,238148.774238
1803,161602.980204
1804,203327.030042
1805,187971.338838
1806,151831.17671
1807,141245.056258
1808,140353.185304
1809,136320.377513
1810,151210.744742
1811,127169.005987
1812,153614.918617
1813,151210.744742
1814,189057.094781
1815,138181.673417
1816,187506.014862
1817,184714.071006
1818,218372.505263
1819,208910.917753
1820,116466.554542
1821,171374.783697
1822,185644.718958
1823,152451.608678
1824,220544.01715
1825,159431.468316
1826,221784.881086
1827,238536.544218
1828,178790.884563
1829,167962.407874
1830,149969.880806
1831,160827.440244
1832,342458.898835
1833,178664.85932
1834,194330.766508
1835,193555.226548
1836,156794.632453
1837,237450.788275
1838,225662.580885
1839,165790.895987
1840,125152.602092
1841,220001.139178
1842,68538.1850247
1843,168737.947834
1844,210772.213657
1845,232875.102512
1846,171995.215665
1847,154080.242593
1848,171064.567714
1849,155670.099511
1850,178238.312342
1851,198828.898275
1852,172305.431649
1853,225197.256909
1854,212168.185584
1855,234658.844419
1856,189522.418757
1857,179750.615264
1858,242259.136025
1859,192779.686589
1860,263121.160945
1861,196502.278396
1862,177559.714877
1863,178664.85932
1864,178664.85932
1865,172305.431649
1866,157415.064421
1867,179440.39928
1868,136553.039501
1869,169048.163818
1870,174321.835545
1871,162320.354666
1872,190569.397703
1873,216356.101367
1874,172615.647633
1875,167341.975906
1876,148186.138899
1877,170754.35173
1878,155398.660525
1879,196036.95442
1880,157104.848437
1881,176648.455424
1882,172305.431649
1883,169823.703778
1884,184403.855022
1885,179517.953276
1886,152238.335189
